,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
3T,4,0.003140110127963629,1.8515653241591482e-06,0.9605479186917844,0.0005708935911718788,0.0005943416044765427
3T,5,0.003293031922424061,1.8885916668196906e-06,1.007326122450784,0.0005825711824533163,0.000578334235030006
3B,1,0.003238484347200635,1.92384815829151e-06,0.9906402236398003,0.0005931116045245495,0.0005987154472138682
3B,2,0.0031043027292602826,1.908992872652487e-06,0.9495945696382047,0.0005882271279328493,0.0006194508127368122
3B,3,0.0030752534452255283,1.8183535314925782e-06,0.9407085025316458,0.000560629030322605,0.0005959646679219264
3B,4,0.003134707305463214,1.808080582291042e-06,0.958895215539236,0.0005576834731606435,0.0005815895878122924
3B,5,0.003303400171069994,1.816580924707328e-06,1.0104977308503238,0.000560765942105379,0.0005549403279050414
4T,1,0.0032037748395110943,1.8648471374026726e-06,0.9800227153323366,0.0005751071506308692,0.0005868304291659647
4T,2,0.0030866685954307705,1.753395472940742e-06,0.9442003541942849,0.0005409541100603247,0.000572923011156819
4T,3,0.003067795824480621,1.7103022599698447e-06,0.9384272442977001,0.0005278296744014112,0.0005624620103569437
4T,4,0.0031385986705548177,1.7907859131671115e-06,0.9600855695355252,0.0005524486213388655,0.0005754160242259779
4T,5,0.0033304349602786883,1.8637826521223522e-06,1.0187675715401225,0.0005751582717740267,0.000564562799053891
4B,1,0.003172475326290737,1.7585641270322813e-06,0.97044831155199,0.0005427790155934554,0.0005593074964759491
4B,2,0.0030754610383908454,1.7907538851276487e-06,0.940772004502836,0.0005522542952872835,0.0005870224588359535
4B,3,0.003075632470188324,1.794257657134006e-06,0.940824444847141,0.000553317924051653,0.0005881202673699156
4B,4,0.003169922363889804,1.8957812077677094e-06,0.9696673699223074,0.0005843984214503781,0.0006026792687653312
4B,5,0.003379098885244912,1.8859511310126012e-06,1.0336536837899477,0.0005820266813635286,0.0005630770639054813
5T,1,0.0031634761203286088,1.818922710716289e-06,0.9676954881781146,0.000561056793806363,0.0005797865141054523
5T,2,0.003077802848801375,1.8676078409196423e-06,0.9414883555300733,0.0005755876175900691,0.0006113592528353724
5T,3,0.0030945933225734784,1.8118103699279364e-06,0.9466244985245555,0.0005586987827118341,0.000590201060275371
5T,4,0.0031998776116143623,1.7630609726429586e-06,0.9788305679259331,0.0005442257428800598,0.0005559958594603685
5T,5,0.003426541516069942,2.0219433348086293e-06,1.0481662067395163,0.000623419093038705,0.0005947712195167471
5B,1,0.0031739521791184426,1.7350145632403607e-06,0.9709000752965904,0.000535644947533097,0.0005516993572891301
5B,2,0.00310860254925162,1.7938814640047535e-06,0.950909868457392,0.0005532995592478693,0.0005818633054523414
5B,3,0.0031442870476647844,1.8373143384930813e-06,0.9618256227728477,0.0005665809859660097,0.0005890683015208235
5B,4,0.003271572998717349,1.8651839904525815e-06,1.0007619181191303,0.0005754076875337279,0.0005749696077716175
5B,5,0.003510672603177411,1.9767702476222097e-06,1.0739015909538157,0.0006099609323820603,0.0005679858727467817
6T,1,0.003187445548560972,1.9042796040522878e-06,0.9750276464345384,0.0005870275051691535,0.0006020624208101011
6T,2,0.003134826751459346,1.8950945579993046e-06,0.9589317536217569,0.0005840915422318787,0.0006091064771041767
6T,3,0.003186952061852928,1.881584516185022e-06,0.9748766907001861,0.000580137791817386,0.000595088381281035
6T,4,0.0033265012672637293,1.995062714055427e-06,1.017564269590728,0.0006149766472169585,0.0006043614792648986
6T,5,0.0035749174986602337,1.9891948678034942e-06,1.0935538636856053,0.0006139216575768373,0.0005614004741455869
6B,1,0.0032441762168766387,1.9543202904630773e-06,0.9923813452399832,0.0006023774454298556,0.0006070019839844786
6B,2,0.003226781689842883,1.8437947433681346e-06,0.9870604246168148,0.0005687876486768986,0.0005762440013717567
6B,3,0.003305402596816783,2.0526279239337816e-06,1.0111102653809712,0.0006323974358650814,0.0006254485366408613
6B,4,0.0034630879239580742,2.040892068438992e-06,1.0593456159328403,0.0006292741705188882,0.0005940215931934177
6B,5,0.00371906060039222,2.0531648205750553e-06,1.137646698242407,0.0006337532509529761,0.0005570738718198588
