,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E159,E160,E161,E162,E163,E164,E165,E166,E167,E168,E169,E170,E171,E172,E173,E174,E175,E176,E177,E178,E179,E180,E181,E182,E183,E184,E185,E186,E187,E188,E189,E190,E191,E192,E193,E194,E195,E196,E197,E198,E199,E200,E201,E202,E203,E204,E205,E206,E207,E208,E209,E210,E211,E212,E213,E214,E215,E216,E217,E218,E219,E220,E221,E222,E223,E224,E225,E226,E227,E228,E229,E230,E231,E232,E233,E234,E235,E236,E237,E238,E239,E240,E241,E242,E243,E244,E245,E246,E247,E248,E249,E250,E251,E252
flux,78841421.72653131,1885172114.3707514,2439496303.4673047,3405069956.254715,3414883755.4027476,6262118692.660071,13465554345.609919,17209742658.326775,20929791760.008327,52792329582.3445,67137767151.23164,228140704136.16315,310204102626.61847,3390766701018.8857,1453841591587.6694,3551957979990.8315,4006893819072.7295,4291712941265.3477,4440473693022.304,4484238510822.704,4447020218980.033,4348524566453.367,10180424473940.734,8937459382596.365,7608658184102.838,6351859193712.619,5238316342561.497,4291817563006.208,3509101624959.612,2875459305878.7944,2368481270633.7886,1965977763949.0906,1646642775467.298,1393611972871.5276,2225367188583.753,1708448162333.055,1373362380784.9978,1148654884088.7188,512576703810.52936,479449161900.1048,877631607965.7545,790472744502.866,721498974942.7981,665125185711.2291,618032593530.5695,293480166435.6051,284120182456.3218,275331118478.8955,267103584947.9016,104669063973.8454,103413386866.58301,102260080658.20605,101108343869.05058,99977099086.74655,98844640448.0907,97795405089.6776,96765521961.46124,95709206739.17789,94668111674.46826,93681963387.28249,92765783155.72755,91803800640.46574,90828060550.81015,90044218624.89267,265053606001.97418,172717595889.18176,253435388278.3376,165335424763.40378,401157680772.02246,384605517610.33936,369273439061.65625,355095425491.2183,341989723081.6453,585204499151.3198,550229862374.2156,519238581624.6856,491483141344.8686,415934497383.3772,299784566039.92865,571571236879.3275,407339517390.98584,390278019122.46277,333621328610.2999,361516770012.5387,385748329350.97736,370380445602.8085,356151380760.7503,342902551916.48834,330630631624.6671,96880079350.93726,315773262276.0121,305197559421.64136,860946672267.1583,608758436270.9028,906554058486.815,1304491161923.3376,587061615836.5006,733035609287.7168,1012076905435.3702,394889760013.65656,372319317333.9909,284426122905.46484,164805246742.68442,174713814218.37158,217845522189.3827,1302113208349.132,1208172642756.015,989211814840.2513,1469910817133.507,356973878124.0153,845255681657.3464,1161543308603.113,1111599135044.8352,641487578194.2885,900151446380.7101,495530661560.3692,327322478574.897,272974119321.93088,297230921731.68317,308390122062.904,355568793452.62164,1182822345696.3093,1064469777056.9381,967400225028.2286,473287597534.98724,177368776255.2478,515876921375.7642,166311285167.4793,390123289591.08954,157535880268.50415,164548475567.9182,268714318446.9133,25892296272.09987,57664816288.01258,90049718194.57669,120633776790.24559,327554119009.38666,145144979960.52063,400192254461.74896,386488309008.96576,427544239199.2895,310709786337.43256,766620607069.886,536904566695.312,622666433013.924,957398349989.2156,586885753615.97,376574002712.5853,367553741342.8675,417185390893.62805,760142333634.2562,637437241023.61,605620468024.0579,243608653618.95456,1144799097178.2131,888256082914.7397,485705408348.10236,445038582158.0948,336453449833.99243,541868675617.02484,320042226699.20734,188878781714.2752,101052649314.05957,299305661597.2634,1912546640794.8538,2085246648694.3118,691321469082.7601,542025488244.9122,70290963970.18578,166088499627.8639,62492918285.38844,552851137419.0281,302875600992.4205,164987859785.05374,566463764879.3032,1057353072870.4077,2100111027461.3438,830481545677.1526,7260501264523.749,2443985094548.3076,238678161205.41125,4104313173985.7876,2381790667991.8096,3323336470681.1157,410628572017.3169,1874098628483.656,2520116281403.6104,281919383111.6811,1323986819722.1558,2296381479514.414,2781045158958.927,529509657866.30664,4801025151503.352,4352069492605.6914,2139877778922.2002,4003951674431.1045,3436318193139.5645,2083467045236.6614,5044185011387.694,5295594585364.416,1143251894709.699,459876943073.7762,1856083761556.339,2593493015841.6035,358794908514.94324,1212105716573.8228,490901995759.51776,1878991553329.6326,2922927077677.515,1947926348390.2256,3642182810438.546,3259726744063.8013,2242913907075.951,2418152004442.627,647233161644.819,616337058084.8779,943760600764.2393,689450868163.6593,1673246947455.2908,635189622018.5021,707752583604.2089,1713807546282.4001,215417518897.15262,1620262830312.0508,1453453027084.724,788388861735.0504,260631251496.06546,457205695172.8827,352149089634.99695,1501029230408.8994,1400267845219.1445,1421924945392.7124,646204516651.6562,862944637057.819,481065440576.69977,474393521033.7418,1140678502532.1685,3247986975955.0957,3177598088174.7417,628147319209.3762,1638992233048.898,1977205105578.9219,481424718461.7103,822777934035.7751,278387590352.65594,68929618382.80835,22293175771.366463,1630100610.067743,688473540.2773709,463384470.52554536,240017578.92464364,80053238.41811004
flux_err,1079085.923118586,5332307.590841604,6950275.063508128,7909316.300548741,8372995.425720629,11199344.305773662,16796191.77035476,19526854.693573195,22575581.591673866,37621255.9919306,40624832.47585226,81543300.58824033,96690054.80261368,470710475.7304713,252579463.19635826,466078119.11035436,523719479.5148408,527829755.25048405,525257848.8419616,576979168.1141775,568859998.1088364,512595059.8406303,1032299538.9204272,916941213.9483666,816635956.6347609,711777606.9166403,595525477.1947384,533086960.88530976,470377295.31432736,407123004.98656434,344951479.6431488,307742856.3592234,270227389.0760061,235588358.50909847,324949420.16028655,265599127.00054136,239076933.27558333,223030757.08022588,133232809.35224053,125071962.79203647,170676764.6303898,163873476.6524815,155517668.8040824,148484849.75586426,146492653.23298705,95624227.38324538,91429482.24427676,93648047.29848933,93679170.62905271,55696414.410111226,57860205.25929909,59247730.189785816,56557615.802528314,55202674.509407595,55568096.26451571,57638546.94525112,54796864.14914144,52060197.07993114,53871607.469535306,56990065.629150346,56260524.44162227,50093292.113886625,56378437.16107775,53298158.87962552,86488370.94822505,74978668.4373224,91326345.855572,71930410.78167623,112043441.1410422,112445677.61946996,117990534.8725356,105814932.73960195,105310595.94014253,146261740.18633562,142108137.48015788,125861738.84501144,134124180.18620461,120061889.29581025,100955166.07349059,142353393.1716348,109252162.9143218,114625334.35780415,106750062.48929705,108914998.23768663,118812162.83315186,113922486.54667954,107038501.82539871,103447390.99541317,100436963.6574867,51852089.8673197,105516144.82875521,95391042.00390036,170328093.97500488,153705121.90935698,193690898.9721206,222224426.91411087,141993276.0995743,165035114.0348362,182401220.05220085,113551862.21500842,111937555.77971044,132022639.93860653,75384768.58368145,80562018.67785113,81842423.73810118,316152191.896853,271615718.8359157,208063929.37445903,227739216.65220076,120596644.21469674,215154017.41391355,216405467.82231247,218042950.4174151,158954085.27295455,226676798.98081952,177455703.98416686,131685547.76487744,89955949.85967052,119325995.77546725,145961360.83972532,108971199.77970265,211259813.57368773,202384243.9582008,247454877.4438904,150469681.24921352,95477107.3302871,174119035.04935887,74575308.36855857,126800148.83031043,72686016.17219974,74516511.86757632,110682202.36180948,25319548.870660268,40285290.56246866,48725805.19621182,60820409.96988042,104246948.5838631,69200389.55931282,128031335.69506109,107870745.7881384,125103074.53925595,100071152.13001521,177861021.3832996,136201948.69588602,165982182.71776852,210752399.5797514,153984486.36404663,110218624.44011354,113879817.55760022,119310978.89224657,217791937.2085518,163230582.35276708,161923450.40084252,88690639.17722307,226441840.50971013,188685595.64645827,161664292.25297454,144198739.57262865,111634416.53158294,143066860.1322379,120446086.40079853,85615374.41352099,56945281.1238466,125489597.23341165,315289941.1036731,295877308.59909636,191123689.85784495,154148898.99187648,42996176.77161591,81810559.12538727,47393092.315014854,164115141.42073277,107897487.15303126,105395725.90261246,149796345.31699666,234782957.72917038,310288662.6030909,184628089.84645838,557266422.0218707,309875338.3775036,92820126.60104878,396665243.4800928,298570497.0930733,351640990.0670605,114969171.35976389,270115085.95161307,303973925.4248274,98893911.60642298,208712165.10111326,274871229.4765331,300140561.9158414,140270983.79268247,425339365.43208086,395724417.228433,274089798.1233703,360128913.1223399,340351900.5363155,249195082.20452505,400298381.439193,402486494.0106433,191324153.97444507,112988222.60393108,245392058.04532748,276083800.8342354,106797690.66277044,190017967.09094217,118748016.97397617,238064108.88311666,288885626.65570474,256994720.6676867,366524562.08683085,338667571.5416208,263213806.41691646,289397352.8890101,152457106.34893858,140773747.5811053,174393758.69952133,153800075.33909148,248430423.43298858,152058078.39074165,166110573.18129855,261885428.21057403,83246374.01154545,246248613.6571012,249576403.95905626,182321083.26375663,102046378.99240682,144128393.7591761,120409991.2005458,245706673.4188126,241095671.8158272,257354565.76281294,163934458.4949919,197432558.0378728,142262799.5573724,152515877.50364769,251660881.5090818,438137968.7433391,451299177.95564646,198373638.83860525,322122116.76473594,376461060.28152627,203351492.99977273,304470025.7392115,194629721.4323997,92890377.87615928,56135222.42919654,14621396.320799073,10103226.289865876,8401375.822943857,6066017.648037173,3770276.342557129
