BU,k,kerr
0.0,1.4073750115262138,0.00030412429599110415
0.1,1.3681658011525661,0.00029560835081670803
0.5,1.345572893632121,0.0003742331276744248
1.0,1.3383658282917616,0.0002776474207125277
2.0,1.329400977966903,0.0002842630501207528
4.0,1.3170853918524397,0.00033263257638920776
6.0,1.30483221552377,0.0003391017531573474
8.0,1.291616304480193,0.0002843888006196944
10.0,1.2802660655835623,0.0003049220204116023
14.0,1.2534711225950483,0.00031172314408602986
18.0,1.2280333331323123,0.0002800281202195562
22.0,1.203438036487351,0.0002790230106786948
26.0,1.179569870613757,0.00028705866380292775
30.0,1.1576939295614384,0.0003179342521601456
40.0,1.1078253730982974,0.0003178161508646977
50.0,1.0621457423470164,0.0002954809533963547
60.0,1.0199464621632437,0.0002851843288593878
70.0,0.9794356959523394,0.00029704968859405517
