,flux,flux_err,relative_err_p,flux_bu_0.1,flux_err_bu_0.1,relative_err_p_bu_0.1,flux_bu_0.5,flux_err_bu_0.5,relative_err_p_bu_0.5,flux_bu_1,flux_err_bu_1,relative_err_p_bu_1,flux_bu_2,flux_err_bu_2,relative_err_p_bu_2,flux_bu_4,flux_err_bu_4,relative_err_p_bu_4,flux_bu_6,flux_err_bu_6,relative_err_p_bu_6,flux_bu_8,flux_err_bu_8,relative_err_p_bu_8,flux_bu_10,flux_err_bu_10,relative_err_p_bu_10,flux_bu_14,flux_err_bu_14,relative_err_p_bu_14,flux_bu_18,flux_err_bu_18,relative_err_p_bu_18,flux_bu_22,flux_err_bu_22,relative_err_p_bu_22,flux_bu_26,flux_err_bu_26,relative_err_p_bu_26,flux_bu_30,flux_err_bu_30,relative_err_p_bu_30,flux_bu_40,flux_err_bu_40,relative_err_p_bu_40,flux_bu_50,flux_err_bu_50,relative_err_p_bu_50,flux_bu_60,flux_err_bu_60,relative_err_p_bu_60,flux_bu_70,flux_err_bu_70,relative_err_p_bu_70
E1,52599988907101.15,29934495703.127224,0.0005690969965030921,54097569229376.29,30408522139.11602,0.0005621051476487314,55029346509451.84,32896264648.962864,0.0005977949355315821,55355313359536.14,34367501005.703865,0.0006208527947892705,55779806740139.12,33272300346.466007,0.0005964936469118901,56434995844264.25,31092243441.46637,0.0005509390578723046,57067822328461.68,33482798441.82192,0.0005867193994035216,57780322561474.13,33814940510.664787,0.000585232809572638,58379417590677.0,32954714791.788692,0.0005644920102295001,59830636835182.58,35144093318.18037,0.0005873929340747778,61236365339165.62,36499869645.493126,0.000596048923598483,62675113716036.91,37093355482.04428,0.0005918354715733539,64092294898101.79,41391445994.55192,0.0006458100160145428,65467099348444.49,41193262995.563705,0.0006292208361991902,68802393288121.81,42349786637.512634,0.0006155278125306722,72085650129690.06,43644121104.29805,0.0006054481165915468,75368362631394.11,49269720449.489334,0.0006537188646442267,78806597302581.9,50046084548.588684,0.0006350494281136669
E2,126020071471178.88,51610186579.85133,0.0004095394168353151,129597947168610.34,53074260101.935616,0.00040953009875136843,131819796696025.31,64308083958.31355,0.0004878484534960036,132560410448769.62,54621661813.99133,0.00041205109149160984,133585480765875.28,55716720069.269035,0.0004170866455683109,135132151740106.92,55896261589.01598,0.00041364146777236654,136629241665497.02,61955857009.81618,0.00045345971517209914,138299611799012.14,59038113866.213165,0.00042688560797995566,139818361875338.84,58004603314.12077,0.0004148568366566712,143267353145092.1,66013990456.46147,0.00046077483116203514,146794857453706.62,58840744349.7029,0.0004008365508870703,150324053453775.88,65146020838.42272,0.0004333705707214375,153944767789990.16,65086414325.35745,0.0004227906882431214,157445951512784.62,69662845857.57892,0.00044245561850424784,166219213270043.97,79723296263.06949,0.0004796274431497218,175188950511317.56,76339011317.6857,0.00043575243241584486,184388436644193.4,82603820843.31119,0.00044798807531899786,194044126232918.25,83972544569.64093,0.000432749736876063
E3,123428282881719.12,101354905212.5988,0.0008211643461792855,124186578508194.84,102970044015.23764,0.0008291559784654412,124818990346745.64,106999445528.14397,0.0008572369094710734,125092467293422.22,94120582946.74243,0.0007524080784654215,125157879829917.38,92236229750.8332,0.0007369590302758175,124937351075847.9,90616424132.6635,0.00072529490462505,125029438274770.44,104861204820.93924,0.0008386921213745793,125211748583644.0,91710604406.6314,0.0007324440832751956,125702498603617.6,105604230837.78314,0.0008401124242628535,126982929071383.92,105691821758.13953,0.0008323309481916617,128860491232824.48,92903539085.0406,0.0007209621676607063,130897183837942.31,102251366982.29854,0.000781157882731008,133346023597004.3,116279137503.5742,0.0008720105359496187,136115087644036.94,113838103249.67674,0.0008363371410183557,143832880314598.84,118810360216.87813,0.0008260305985461034,153116153335669.03,126564477272.2448,0.0008265912806389782,164288775865020.2,132088173845.00224,0.0008039999881277709,177402927797125.78,172790581446.95538,0.0009740007315130393
