,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70
1T,1,1.3320811972816922,0.0017892807112639133,0.0013432219559252126,1.336098450578714,0.001495472184182092,0.0011192829267441683,1.3418883201858276,0.0017126874116443426,0.001276326342424059,1.338043231126543,0.0018540161488914367,0.0013856175239797587
1T,2,1.072089403704379,0.0013674864381444244,0.0012755339558616686,1.0757554730291656,0.0012628991596440446,0.001173964893794972,1.0801764189322278,0.001424074008919443,0.0013183716881425387,1.075249068908414,0.0012624843869483734,0.0011741320438715091
1T,3,0.5200976618992774,0.0006379708385417768,0.001226636620922412,0.5218379987199917,0.0006075147827072456,0.0011641827237522165,0.5232526483907306,0.0007154327959354429,0.0013672798372559884,0.5219235338005519,0.0006101289446810164,0.001169000639304706
1T,4,1.0754807464854206,0.001202329433127781,0.0011179460320948481,1.0748466956444085,0.0012431344971417539,0.0011565691202096975,1.080756163561745,0.0012701959413925644,0.0011752844760158489,1.0761048973495375,0.0012157049912416714,0.001129727217333525
1T,5,1.3396334180924332,0.001602755218815394,0.0011964132852833964,1.3418228325803556,0.001856782554736883,0.0013837762405385873,1.3481510383638469,0.0015092238761461414,0.0011194768488090008,1.3420242093366916,0.001551940952909542,0.0011564180005937475
1B,1,1.2808123500655382,0.0016035237177449578,0.0012519583510128606,1.283156876946937,0.0015842185014813847,0.0012346257343457292,1.2864034466876262,0.0014598610470851555,0.0011348391912694008,1.2846834219461871,0.001723081282173364,0.0013412497217120158
1B,2,1.0308249605730682,0.0012925923795025634,0.0012539397365620352,1.0308201621107702,0.0014154638362865119,0.001373143336067585,1.0333360081367613,0.0013754735888333591,0.001331100027486235,1.0324675261647136,0.0014036013976324907,0.0013594629972009105
1B,3,0.49982254683644,0.0006613020979393427,0.0013230737631284664,0.5010543399557299,0.0006758256903159789,0.0013488071780312105,0.5009950833116961,0.0005813849662516974,0.0011604604229019677,0.5013495738864753,0.0007083942017616918,0.0014129745763424132
1B,4,1.03186000244334,0.0013159897356663536,0.001275356862898284,1.033224643272278,0.0012488408808312625,0.001208682825136764,1.0365416520912591,0.0012317918283835734,0.0011883669372073859,1.0371812529628466,0.0013945358293497394,0.0013445439988102968
1B,5,1.287577046846157,0.0015126184747250215,0.001174778999385,1.290281941391627,0.0017032971352458394,0.0013200968568224374,1.2929059126059812,0.0015023096344772473,0.0011619636199583865,1.295498807801423,0.0018384263205438512,0.001419087620515703
2T,1,1.2658106834496692,0.0015216551633242,0.0012021190713743125,1.264221064793084,0.001448934178029098,0.0011461082388041415,1.2672108269176146,0.0017052083163116285,0.0013456390050418099,1.265719438378673,0.0017734552913033848,0.0014011440746893305
2T,2,1.014361989326516,0.0011442086365244285,0.0011280081948694901,1.015834425940687,0.0011879608360610848,0.0011694433716016315,1.0175463234433324,0.0013640647007255936,0.0013405430979394216,1.014964643336555,0.0014352101636975075,0.0014140494184895491
2T,3,0.4920454133035173,0.000621659850197321,0.0012634196628794735,0.4930159793432571,0.0006264008928629862,0.0012705488647597385,0.4939764177059082,0.000721593855050626,0.0014607860399526828,0.4920025908640187,0.0007129555575448367,0.0014490890307971686
2T,4,1.0163129082502416,0.0013748577506124634,0.0013527898144868778,1.0174429916545182,0.001282982935260912,0.0012609875401221105,1.0189409946575796,0.0015140581449171716,0.0014859134658979725,1.017118752973871,0.0014645312769993055,0.0014398822878029544
2T,5,1.2672770871289298,0.001603097500090442,0.0012649936753155757,1.2676999911369575,0.0014822806950078801,0.0011692677331948801,1.267283153895331,0.0018942701118086767,0.0014947489091022275,1.2675331519898427,0.0014869051097053962,0.0011730699961347534
2B,1,1.2332055061375558,0.0015247292786875575,0.001236395127250984,1.2341512347826489,0.0014565211189930382,0.001180180417069835,1.2310689405008248,0.001625755831939291,0.0013206050274307945,1.235471694497125,0.0015427312138384815,0.0012486981455827044
2B,2,0.9921204822978056,0.0011634697192467811,0.0011727101093126524,0.9905338993292748,0.0011934969193014096,0.001204902649075986,0.98986742679738,0.0013686944802584634,0.0013827048382496446,0.9924177388132656,0.0013030259265491226,0.0013129812936508805
2B,3,0.4817535875446998,0.0006333413064315858,0.001314658204538686,0.4814189170921152,0.0006349471551520682,0.0013189077799171255,0.4817569570000305,0.0006560415452732017,0.0013617687004635413,0.4815230153788838,0.0006453857622189976,0.0013403009650767767
2B,4,0.9952423808903316,0.0011016170644597759,0.0011068831930913985,0.9924472969225656,0.001303284065785634,0.0013132022927836349,0.9933657299350508,0.0012747303640415727,0.001283243749635815,0.9944282118436151,0.001276102422478428,0.0012832524331873134
2B,5,1.239989988862058,0.001479713829938424,0.001193327239114536,1.2386662921215046,0.0013068095213544806,0.001055013387920862,1.2392273443299509,0.0014698128230149169,0.0011860719743959835,1.239720992517648,0.0014424910286536072,0.0011635610249078464
3T,1,1.2292593970879993,0.0014903332238418142,0.0012123830229585995,1.2270402398816898,0.001425821150249087,0.0011620003190657901,1.2245912136178472,0.0013885478080065824,0.0011338867963165875,1.2267599915891343,0.0016474488449026562,0.0013429267796454345
3T,2,0.9866024108592564,0.0010809036850386064,0.0010955818404064317,0.9844518856092788,0.001139409973625817,0.0011574054458950366,0.9828468434463148,0.0012686486776171495,0.0012907897970844385,0.9867652037900586,0.00124935005934423,0.001266106723813944
3T,3,0.4780262693806648,0.0005416127504166142,0.001133018800657823,0.4770887242806293,0.0005579151367843876,0.0011694158935020552,0.47666033763631105,0.0006025443231452982,0.0012640957838724895,0.4782729661697486,0.000654088154276688,0.001367604277354324
3T,4,0.9864726348294506,0.0009963183690912447,0.0010099807474775986,0.9860461879884824,0.0013101944432935852,0.0013287353668151789,0.9825519122994224,0.0011448657198175464,0.0011651961646873886,0.9851053347643628,0.0013578376555151194,0.001378367985226589
3T,5,1.2277067099989878,0.001189653680032235,0.0009690047878236457,1.224281161852687,0.0014530892975527555,0.0011868918209554222,1.2237074174251936,0.0013626318790875987,0.001113527514571021,1.2254036789160434,0.001493712499697653,0.0012189554555760336
3B,1,1.2110205014670479,0.0014203297059630954,0.0011728370446598439,1.213629565795734,0.0013713561002835222,0.00112996266647836,1.208803488079924,0.0013201029205531867,0.001092074049728341,1.2163980828500718,0.0014468864500270984,0.0011894843229586342
3B,2,0.9739825782811664,0.0010799727384350796,0.0011088214127412414,0.9758829655435024,0.0012588320542343974,0.0012899416207488685,0.9720675753499128,0.0011838409456891444,0.0012178586918332294,0.9773600168861208,0.0011332273123053046,0.0011594778717424706
3B,3,0.4723296958970445,0.0005912368028846296,0.0012517459901854313,0.4720997680063293,0.0005999531869136986,0.0012708186437949173,0.4708883749709145,0.0006201194221699021,0.0013169138486551196,0.4741020181261525,0.0006351270754873026,0.0013396422103360535
3B,4,0.9755694376892041,0.0011565390106810715,0.0011855014784191312,0.9750490218172668,0.0010686114290383898,0.0010959566187213278,0.9739490970753588,0.001099146920900301,0.0011285465782563946,0.978266557873804,0.0010967443183954278,0.001121109895424747
3B,5,1.2173951304018162,0.001267390622689301,0.001041067596739099,1.217345539842626,0.001394722782526498,0.00114570821256453,1.2129498070796467,0.0014764211902286116,0.0012172154046368256,1.2184647930023822,0.0015486733941569213,0.001271003809917956
4T,1,1.2116021847247125,0.0014949289451773164,0.001233844709117109,1.212996966400348,0.0012745651248098056,0.0010507570588508275,1.2112450414611575,0.0012521673160328696,0.0010337852979132498,1.2148781890130942,0.0014964772033332786,0.0012317919745920708
4T,2,0.9746698474803072,0.0011542940123033091,0.001184292317329157,0.97353725915346,0.0013253454189325726,0.0013613710276328074,0.9697473774977472,0.0011144783429565034,0.0011492460498652832,0.9762460308922054,0.0011464925010521948,0.0011743888986717813
4T,3,0.4727513875841485,0.0005520508681557207,0.0011677403444055616,0.4727429187129522,0.0005816020597098027,0.0012302713307546114,0.4705219013715104,0.0005839161051621756,0.001240996653843606,0.4724698879843603,0.0006140848507150637,0.0012997333085815429
4T,4,0.974081950104027,0.0011262108886868146,0.0011561767349929242,0.973799327166234,0.0010443442123162583,0.0010724429388910249,0.969790895865252,0.0011454625748527525,0.0011811438731137655,0.9746858752874796,0.001172451356565298,0.0012029017617799054
4T,5,1.2114783526599866,0.0014639623045503653,0.0012084097923301818,1.213416103175437,0.0014891113293250006,0.0012272058409543813,1.2092887545876956,0.0012436186437383954,0.0010283884961473943,1.2161448996853443,0.0014442528268314365,0.0011875664052902832
4B,1,1.2209676050387994,0.0015913951355536382,0.0013033885002240232,1.2154158604841392,0.0014343341780976699,0.0011801180359176232,1.211979098790954,0.0015675740840364366,0.0012934002621004085,1.2160799056983709,0.001605185092569168,0.0013199667925170935
4B,2,0.9800034649804952,0.0013705137462317087,0.001398478469929681,0.9765330484725488,0.00122588703951534,0.0012553461876511193,0.974120014128772,0.0013390682292184768,0.0013746439964238955,0.9767872576998072,0.0011921802584789613,0.0012205116816187526
4B,3,0.4749571647984258,0.0006370413532877827,0.0013412606451744886,0.4736713037664443,0.000503398960529833,0.0010627600965627565,0.4720774414351651,0.0006523075899817424,0.0013817808959450774,0.4735657843894808,0.0006453529066249878,0.0013627523944893408
4B,4,0.9798428322424302,0.0012474731809785802,0.0012731359968451894,0.9778956598931308,0.0011728898270963375,0.0011994018126888063,0.974632390412298,0.0011888057101675613,0.0012197477960533016,0.9765334915788421,0.0012572352679646813,0.0012874471575286227
4B,5,1.21967322462709,0.0014519893020993552,0.0011904740325371125,1.216958210652448,0.0013480455576186528,0.0011077172131456552,1.2152356135062536,0.0017217626413827852,0.001416813844366424,1.214839459564144,0.0014945559873716767,0.0012302497878261946
5T,1,1.2279415544281669,0.0014967213676133073,0.0012188864870773975,1.224687513159522,0.0014102353345307242,0.0011515062572104741,1.2236794308129002,0.0015744128963287325,0.0012866220160968444,1.2249389214315678,0.0014927187135061436,0.0012186066483720064
5T,2,0.9833085475926554,0.0011637801014387054,0.0011835350198957206,0.9829898785325356,0.0010843435994156493,0.001103107593574026,0.9805139243392592,0.0011425878680412665,0.00116529489248327,0.9832132480297052,0.001183324511488016,0.0012035278347391275
5T,3,0.4770366102499324,0.0006292283103141433,0.001319035681526568,0.4756606473378186,0.0005855858130024779,0.0012310999791130279,0.4752993291828892,0.0005457370484952005,0.0011481965468653286,0.4756721604329601,0.0006960130943006988,0.0014632201591684131
5T,4,0.9828452985166172,0.0011590797201673805,0.0011793104386995073,0.9786493996891412,0.0011384914311674064,0.0011633292081199226,0.9807446625230626,0.000991158550608404,0.0010106183479587343,0.9808824541824916,0.0013720851636338262,0.0013988273088006039
5T,5,1.2253072395935944,0.0013210783944500395,0.0010781609312030265,1.2212854467929544,0.0013916545653522704,0.001139499835199624,1.2218549638430731,0.0012722228124383286,0.001041222444631918,1.2194397661495322,0.001573167922742277,0.0012900743164294753
5B,1,1.2408969391220088,0.00143571719067751,0.0011569995423579215,1.2413764012500532,0.0014625954700001572,0.0011782046674379653,1.2405825020568584,0.0014125140267225286,0.0011385893516800466,1.2372978479697916,0.0016138420957112901,0.0013043278935297169
