BU,k,kerr
0.0,1.5057215311975534,0.00027611204063103127
0.1,1.4751421635532702,0.0002868313412798773
0.5,1.4501518240166726,0.00029059264973030217
1.0,1.4464419542790736,0.00030557710687656784
2.0,1.4394601838921035,0.0003209243592982891
4.0,1.4294999967572537,0.00028817459972800037
6.0,1.4211667444580665,0.00027738661410829055
8.0,1.4131883493843593,0.0002874706889353261
10.0,1.405471050910491,0.0002967857868170173
14.0,1.3899840392057137,0.00029802723362218797
18.0,1.3735901549769973,0.00028897893701695053
22.0,1.3577603413835997,0.0003252891615819564
26.0,1.3423570096776025,0.00026601539374948824
30.0,1.3263743272973885,0.0002817841017395923
40.0,1.2889157651975762,0.00028231105693752516
50.0,1.254150224235823,0.00033341163730954236
60.0,1.2221052595870319,0.00028201074925658805
70.0,1.1923821484003574,0.00030394718154909937
80.0,1.1638205485706883,0.00029867525577180037
90.0,1.137329461388862,0.00028219484733296105
100.0,1.111651596324402,0.0002936204027536647
120.0,1.060890745396648,0.0003083909375540021
140.0,1.0114784106249834,0.00028280099199350274
160.0,0.9600672454081144,0.0002548969179729635
