,0.0,0.1,0.5,1.0,2.0,4.0,6.0,8.0,10.0,14.0,18.0,22.0,26.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,120.0,140.0,160.0
U232,2.473786240812209e+29,7.715349958072145e+29,5.742702354583961e+30,3.386818631632342e+31,1.820043223398475e+32,4.549996072176458e+32,8.474762129619053e+32,1.351267027361444e+33,1.963819813843979e+33,3.500884009722387e+33,5.42128669264144e+33,7.693578441896973e+33,1.0291662453160677e+34,1.318859137886606e+34,2.156619315803367e+34,3.1255831104211324e+34,4.189569081528976e+34,5.3183344139412645e+34,6.481268638672676e+34,7.651824112208005e+34,8.806550074007637e+34,1.0982865987589493e+35,1.285715153824348e+35,3.2030202610245214e-12
U233,1.0407948049912667e+33,5.163325928819975e+33,1.0598731052980928e+34,2.231860453439451e+34,4.0826941057838583e+34,6.299571764324728e+34,8.339410255816995e+34,1.0567542975646412e+35,1.2572857243092062e+35,1.673012777470552e+35,2.0674103388344327e+35,2.436200836111641e+35,2.7904653257502675e+35,3.1902906126747857e+35,4.010457964701254e+35,4.8323185413724184e+35,5.597692432678814e+35,6.2975961473554314e+35,6.958473929635411e+35,7.60556613238577e+35,8.173421364007375e+35,9.203941066980247e+35,1.0092358480412778e+36,2.3948084615558458e-11
U234,1.8790037769180957e+36,9.508235784398924e+36,1.9172060408217378e+37,3.848930806253353e+37,7.661449905695183e+37,1.1446370984486538e+38,1.5188439646676801e+38,1.8895130097084527e+38,2.2556417865101625e+38,2.980242244709095e+38,3.688340022030876e+38,4.3870994139312446e+38,5.075701321071029e+38,5.762141087640562e+38,7.477402003981302e+38,9.255292960782168e+38,1.1186549052209728e+39,1.3381236993212222e+39,1.5975664765719343e+39,1.9105942602435434e+39,2.2929163483932265e+39,3.330002852525224e+39,4.836288789928837e+39,1.5106660323900914e-07
U235,2.207444237906486e+44,2.201379865564412e+44,2.193803333155885e+44,2.1787074749927475e+44,2.1487897476819653e+44,2.1192400441457564e+44,2.09004411389922e+44,2.0611875346371453e+44,2.0326574856424094e+44,1.9765230525293153e+44,1.9215399713674647e+44,1.867642275605616e+44,1.8147698724530036e+44,1.7628748476245247e+44,1.6371819336772905e+44,1.5169340585313347e+44,1.4018247092194972e+44,1.2916494237934377e+44,1.186216225845407e+44,1.0854127113427967e+44,9.891137676749436e+43,8.096762114262876e+43,6.474607323042326e+43,0.0011652833418869097
U236,3.022058638800344e+40,1.5163370904178932e+41,3.0370488500335585e+41,6.065854950333184e+41,1.2061160208499098e+42,1.7975799942641455e+42,2.3813045217342035e+42,2.9573474469556304e+42,3.5257086545738026e+42,4.640421154857129e+42,5.72760560432875e+42,6.787985403912509e+42,7.822549164038582e+42,8.832228281392695e+42,1.1250085234404057e+43,1.3520453629704116e+43,1.5647621120817412e+43,1.7633816364552634e+43,1.9481610835595866e+43,2.119304494070278e+43,2.277009554514201e+43,2.552621023220077e+43,2.775928738438655e+43,0.0006622144976004598
U238,8.8618867463994e+44,8.8602783446961e+44,8.858237990818818e+44,8.854149416793313e+44,8.845922260295204e+44,8.837628944457272e+44,8.829264187821787e+44,8.820835213688559e+44,8.812356538127799e+44,8.795226841309242e+44,8.77786243053548e+44,8.760243875313309e+44,8.742383605282035e+44,8.724286015321302e+44,8.67794878362857e+44,8.630068159348075e+44,8.580668084635749e+44,8.529833357850712e+44,8.477461595294469e+44,8.423625615234357e+44,8.36831005099802e+44,8.25296932629016e+44,8.131124580393009e+44,0.01809853582937503
Np236,1.8739242691689578e+26,2.418379743345837e+28,2.532216142675278e+29,2.861191772844922e+30,3.237317587248609e+31,1.339273569273606e+32,3.5978688721195895e+32,7.678714983123337e+32,1.411535391592543e+33,3.661893179251496e+33,7.54937126563512e+33,1.3605558854637111e+34,2.229465170588701e+34,3.422796439055879e+34,8.099273635891124e+34,1.5819177804720553e+35,2.736138201257225e+35,4.342882156859404e+35,6.497478512412736e+35,9.230141867196214e+35,1.2622424452448552e+36,2.1612568916972195e+36,3.3710338749141253e+36,1.072508942648882e-10
Np237,2.666990399668158e+35,9.573028979396215e+36,5.1287573454507e+37,2.9182171477307314e+38,1.6553745704714677e+39,4.4305710896153675e+39,8.722717630827961e+39,1.4554591253664215e+40,2.1903919512192815e+40,4.106506237240601e+40,6.602052890713885e+40,9.65908278533905e+40,1.325788155228046e+41,1.7374196262904154e+41,2.9830268102353586e+41,4.514452728848725e+41,6.298787620272597e+41,8.305645515184501e+41,1.0506558648552687e+42,1.2867500719414613e+42,1.5354575201949056e+42,2.0599664223439357e+42,2.598587827656407e+42,6.939857121468681e-05
Pu236,4.493745387622584e+25,4.823702509581757e+25,1.2302444938322706e+26,2.166477062157888e+26,3.720994381103891e+26,3.030480738422249e+27,1.0094601807636182e+28,1.8008890456092768e+28,3.319499300211864e+28,1.0731060347196445e+29,2.5861307988965104e+29,5.188762043374402e+29,9.627089814471669e+29,1.7299678665919838e+30,5.306082138459347e+30,1.310093553294113e+31,2.7345091368298166e+31,5.109393742436865e+31,8.752882911777167e+31,1.4219923654959368e+32,2.176587354981915e+32,4.594942343672965e+32,8.739493277962775e+32,3.1915725143200586e-14
