,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70,Fission Density_bu_160,FD std dev_bu_160,Relative unc._bu_160
1T,1,1.3955216654463494,0.002080203030924688,0.001490627542682648,1.3930438225935278,0.0019366734472438425,0.0013902458887748422,1.4027168741842524,0.0018930474094686176,0.001349557736353258,1.4012026242537727,0.002262895965081677,0.001614966976162216,1.377482903961353,0.0021308934029329527,0.0015469472592399866
1T,2,1.1198155089045054,0.0016255773521926275,0.0014516474716294112,1.1193049275382538,0.0015564889408622431,0.0013905852664166422,1.1236277974768365,0.0014722646110027907,0.0013102778467289937,1.125405025103434,0.0018667272279375203,0.0016587159167571273,1.1073247905275392,0.0015697331550781335,0.0014175905466094546
1T,3,0.5434922075981389,0.000795044951043499,0.00146284517041569,0.5459239361127225,0.0008503187144283424,0.0015575772707148133,0.5479503046251609,0.0007748064968760393,0.0014140086981173686,0.5462615751320646,0.0009352739810236805,0.0017121357671872998,0.5372082019316716,0.000871153753263306,0.001621631520387899
1T,4,1.1238620147517484,0.0015376596164114432,0.001368192532738193,1.124547442252238,0.0016247394804739213,0.001444794073978685,1.131153708985016,0.0016551073548760164,0.0014632028713066276,1.1274132188021735,0.0017780564531634773,0.0015771115891763125,1.1103045490153851,0.0018012898657796329,0.0016223385443003108
1T,5,1.4066979734580958,0.0021274296434797293,0.0015123570827715446,1.412193650371922,0.0019387411787176656,0.0013728578783845048,1.4119831434188768,0.0018632470440101035,0.0013195958129489905,1.413619614925376,0.0020979236928354537,0.0014840793595992953,1.3881073888307904,0.0021750717110675995,0.0015669333140713795
1B,1,1.2995736059612588,0.002037208148805504,0.0015675973561333119,1.2999592165990157,0.0017409477067116402,0.0013392325578231213,1.303063474932751,0.001689186320884217,0.001296319291714775,1.3055065321638677,0.0020574258240971897,0.0015759598082493095,1.29781330307832,0.0018830735821419504,0.0014509587609214938
1B,2,1.046850897306674,0.001481704804834634,0.0014153924008153851,1.0451413624161678,0.0015982327778731628,0.00152920249388882,1.0496561876297217,0.0013262571563522564,0.0012635157797213016,1.0491981857471693,0.0014870083147397256,0.0014172806767491473,1.0422429765048955,0.001464350042518466,0.00140499871481896
1B,3,0.5086800073140639,0.0008110576478261932,0.0015944358657002187,0.5082171006200578,0.0007772233892913572,0.0015293137290010401,0.5087952505049195,0.000696511293172928,0.0013689422070699805,0.5092695351680857,0.000883737690656183,0.0017353044500580679,0.5077061773225797,0.0007476130858330162,0.0014725310016427226
1B,4,1.0517740825907482,0.0014856024427179991,0.001412472951471325,1.050916425599865,0.0013651123460174926,0.0012989732701516046,1.0554995884034415,0.001481579011606489,0.0014036755938934464,1.0524251295771638,0.001627605946937674,0.0015465289655251793,1.0489772530453378,0.001376257552134801,0.0013119994243338635
1B,5,1.3130861547590618,0.0018503506428749078,0.0014091616427213253,1.313505570592192,0.0018214348168712844,0.001386697443582286,1.3194097732761296,0.0018221467341315144,0.001381031709055084,1.3186187396446367,0.0019598107676176927,0.0014862603637392981,1.3083305126639162,0.002007101844236063,0.0015340938889740982
2T,1,1.2715100847720908,0.001635724801436486,0.001286442648805006,1.2709210909709088,0.0018742224045426254,0.001474696122251642,1.2716507107323514,0.0020806534503693764,0.0016361831380341198,1.2738088963839829,0.0021073811145414217,0.0016543934655533785,1.2690776015142171,0.0018955191839401763,0.0014936196034651555
2T,2,1.0192814379640465,0.0015160351753477509,0.0014873567975258533,1.0184695799517132,0.0014211027020293162,0.0013953315150529015,1.0205235517188946,0.0016223804371977113,0.0015897530580897355,1.020705228438758,0.0016512734478017679,0.001617777005343168,1.020618764921135,0.0015339793428648045,0.0015029895545604025
2T,3,0.4949938213120582,0.0008387680777690803,0.0016945021163007547,0.4937112349579175,0.0007575548697460472,0.0015344088124926284,0.4944906392612287,0.0008782467126656081,0.0017760633729643753,0.4955346323006262,0.0008581369030339921,0.0017317395134420915,0.4955064856331108,0.0007102522847398399,0.0014333864547349919
2T,4,1.0208813431389987,0.0014481489711273983,0.001418528197091584,1.0168952702901846,0.0014845328842256825,0.0014598680194490936,1.0219311754795586,0.0015898775058094824,0.001555757906165653,1.0224053861438145,0.0015892693603188634,0.0015544414983112308,1.021740136770774,0.0015117654944421177,0.0014795988138628642
2T,5,1.2749469704907128,0.0019220217736996609,0.0015075307586792381,1.2747027459432956,0.00177864484066702,0.0013953408716875408,1.275161326705757,0.002007942122929845,0.0015746573244321555,1.2782370091881632,0.0017668111249578137,0.001382224980389165,1.273974805618462,0.0020309843329027228,0.001594210752006798
2B,1,1.2238285853127224,0.0019433955043460934,0.0015879638110017685,1.2228297412637816,0.0019328216007267007,0.0015806138299589855,1.2222824517868416,0.00183179594702706,0.0014986682859998333,1.2234420675909274,0.0018065533184514308,0.0014766153349693985,1.2274170552945365,0.0018700599782044641,0.0015235734016712974
2B,2,0.9841511798327736,0.001400069867423955,0.0014226166630840742,0.9805012132819468,0.0013305330219565636,0.00135699273385189,0.9812979586147796,0.0014073260744142972,0.0014341475614612585,0.9822051112094126,0.0015532248228178494,0.001581365037802875,0.9851533958772859,0.0013406633727984572,0.0013608676358513561
2B,3,0.4780587575655273,0.0006555289557756159,0.0013712309321846552,0.4765434364176925,0.0006406624548406927,0.0013443946676859678,0.4780642237587532,0.0008246178125910354,0.0017249101095821895,0.477082701918846,0.0009215401769078213,0.0019316151543565694,0.4790602682947402,0.0007613313035958993,0.0015892182132029632
