,flux,flux_err,relative_err_p,flux_bu_0.1,flux_err_bu_0.1,relative_err_p_bu_0.1,flux_bu_0.5,flux_err_bu_0.5,relative_err_p_bu_0.5,flux_bu_1,flux_err_bu_1,relative_err_p_bu_1,flux_bu_2,flux_err_bu_2,relative_err_p_bu_2,flux_bu_4,flux_err_bu_4,relative_err_p_bu_4,flux_bu_6,flux_err_bu_6,relative_err_p_bu_6,flux_bu_8,flux_err_bu_8,relative_err_p_bu_8,flux_bu_10,flux_err_bu_10,relative_err_p_bu_10,flux_bu_14,flux_err_bu_14,relative_err_p_bu_14,flux_bu_18,flux_err_bu_18,relative_err_p_bu_18,flux_bu_22,flux_err_bu_22,relative_err_p_bu_22,flux_bu_26,flux_err_bu_26,relative_err_p_bu_26,flux_bu_30,flux_err_bu_30,relative_err_p_bu_30,flux_bu_40,flux_err_bu_40,relative_err_p_bu_40,flux_bu_50,flux_err_bu_50,relative_err_p_bu_50,flux_bu_60,flux_err_bu_60,relative_err_p_bu_60,flux_bu_70,flux_err_bu_70,relative_err_p_bu_70,flux_bu_80,flux_err_bu_80,relative_err_p_bu_80,flux_bu_90,flux_err_bu_90,relative_err_p_bu_90,flux_bu_100,flux_err_bu_100,relative_err_p_bu_100,flux_bu_120,flux_err_bu_120,relative_err_p_bu_120,flux_bu_140,flux_err_bu_140,relative_err_p_bu_140,flux_bu_160,flux_err_bu_160,relative_err_p_bu_160
E1,48383732264866.86,24984728632.178085,0.0005163869644326794,49355591042386.19,24952676149.35737,0.0005055693918836513,50239624672796.06,26004628463.55596,0.0005176119175435848,50365316641499.74,25618673191.982468,0.0005086570461640529,50614402564226.19,24921988913.657,0.0004923892736268637,51047190917786.19,28046472236.91306,0.0005494224409347651,51416638346316.34,25517820903.5226,0.0004962950073018684,51741133668810.13,27803145758.831585,0.0005373509196144942,52073648294323.2,26433135186.980244,0.0005076105871741246,52753001185507.8,28263804598.710617,0.0005357762395227514,53485588326884.98,25798380260.210342,0.0004823426471919832,54213160622030.31,25221656084.933403,0.0004652312426640593,54928713886756.91,24250834612.22581,0.00044149649420560324,55669669674713.06,29215058609.436844,0.000524793101524496,57531118568623.44,26197254851.397213,0.00045535799586703633,59330879953683.77,32783219677.775875,0.0005525490217466497,61090101240053.52,33074367776.88395,0.0005414030604879544,62814657390849.9,29519085652.82128,0.0004699394516974834,64596322257764.18,38360194102.54702,0.0005938448623975075,66306663579739.32,41676184058.86729,0.0006285368891883421,68082363162656.77,39663092288.97545,0.0005825751405575577,71785037225458.88,41177702184.53983,0.0005736251421756731,75760595012001.97,45947650055.198784,0.0006064848097869319,80378472225434.86,50990757627.07016,0.0006343832647634563
E2,115290374526519.69,54355820570.55406,0.00047146885239800185,117667771423123.0,49281355761.45167,0.0004188177881285797,119719695534158.88,46966616421.209236,0.00039230484350679415,120058592621051.28,51630167085.25221,0.00043004141526309457,120686656691946.92,57993863312.2506,0.00048053252034547714,121651948168956.34,51084953481.400536,0.00041992713022935877,122473011462386.3,46955895031.36823,0.00038339789697903565,123258677896095.14,55179672064.91043,0.00044767372980769685,124049556364632.16,52851529167.795975,0.000426051738649059,125673311821353.0,53609524735.61284,0.00042657843545827615,127387281343476.7,53887237590.86926,0.0004230189782100153,129092231931850.23,53104333787.8205,0.0004113673843353727,130804093114185.95,54956712990.1271,0.00042014520862242757,132620252553184.78,51751035130.751,0.00039021969974003217,137066487716420.69,61877131272.583534,0.0004514388039226791,141550788988287.9,64362928290.09584,0.00045469847784049657,146002205854961.66,62025467649.24442,0.00042482555168283156,150332046415169.16,64335140295.58073,0.00042795359891468235,154829368612484.78,67951641975.15605,0.00043888083109884046,159276767048185.72,69331359073.20872,0.0004352885882737313,163825631456972.03,67652284903.687775,0.0004129529933870959,173515307017508.66,79547570527.8193,0.000458446991767663,183990183601485.38,79517557622.23691,0.0004321836962479935,196109768162884.56,78582918455.24191,0.0004007088437837152
E3,63124899672332.89,44498316559.07842,0.0007049249470503581,63457183495675.06,50688972948.66145,0.0007987901472512749,63888531515003.94,48026543004.93647,0.0007517240084577252,63984117839432.46,57586241429.565,0.000900008367296352,64119071699415.95,52567971674.412636,0.0008198492317675191,64313254722675.07,48058956381.76189,0.000747263633118814,64403290563010.44,51512436063.02781,0.0007998416790929253,64586947432968.39,57210348577.14855,0.0008857880864632029,64801081609395.45,53430196687.56366,0.0008245263097555593,65302411530877.06,52632474427.458885,0.0008059805632533582,65784055174265.23,51867307381.68808,0.0007884480098450758,66345188095954.58,61277582736.92898,0.0009236175899946748,66974048479434.67,56119098656.655716,0.0008379230452805593,67641041396769.02,55246506509.61626,0.0008167601410148485,69530688155539.6,62159397710.50341,0.0008939850785232174,71611998792009.95,65691082812.06037,0.0009173194984105064,73929537994033.58,64708943996.642586,0.0008752786200539339,76537498454374.61,59420816806.507675,0.0007763621493578014,79459761166321.42,71337587214.50232,0.0008977825526706763,82577344964999.4,80573015593.6352,0.0009757278540232342,86181163223978.97,69812543320.88382,0.0008100673129631098,94582927426210.2,78161440417.42256,0.0008263800089968772,105268034294049.4,99571783360.3221,0.0009458881229052332,119039485574820.2,100935660537.19667,0.0008479174792279772
