,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.004241120052790582,2.887815317155118e-06,1.2366598088470335,0.0008496953639883915,0.0006870890101786215
1T,2,0.0039015024235068397,2.705349764415621e-06,1.1376313759605916,0.0007957528897877411,0.0006994821930924896
1T,3,0.003706924310332081,2.6254739847277124e-06,1.0808947287425565,0.0007719812808895388,0.0007142057966991959
1T,4,0.003620732387630958,2.5774819709317798e-06,1.0557621964574602,0.0007578064844161267,0.0007177814160792041
1T,5,0.0036922671954158627,2.435702153159418e-06,1.0766208895904172,0.0007170876227390784,0.0006660539746835886
1B,1,0.0039219108187295085,2.5605784016445527e-06,1.1435822195634116,0.0007540021469342629,0.0006593335695811363
1B,2,0.003594019147699143,2.4712547879963652e-06,1.0479729356545202,0.0007270026606665209,0.000693722744101655
1B,3,0.003430468074873244,2.4396228003357008e-06,1.0002834017719504,0.000717286118840554,0.0007170828962771137
1B,4,0.0034047698096621127,2.57317292842625e-06,0.9927900954405752,0.0007558392344372808,0.0007613283391005814
1B,5,0.003553305989463875,2.5978771078961602e-06,1.036101466360069,0.000763477155784121,0.0007368748916708851
2T,1,0.0037743091923977605,2.6275455639627263e-06,1.1005433532420426,0.000772814801229545,0.0007022120473063997
2T,2,0.0034731083461584096,2.414354041964163e-06,1.0127167941495139,0.0007101285135896344,0.0007012113531562445
2T,3,0.0033369836748122494,2.4509259929954094e-06,0.9730244704352765,0.0007202392637316055,0.0007402067323234027
2T,4,0.0033329242923384613,2.367994910182202e-06,0.971840803127682,0.0006962373548701754,0.0007164109107473878
2T,5,0.003515626915788842,2.605359118260606e-06,1.0251146997822542,0.0007655167701754297,0.0007467620651016261
2B,1,0.00357762429080552,2.548347320157962e-06,1.0431923917557921,0.0007492331055873517,0.0007182118193234912
2B,2,0.0033076250274288515,2.2791736602903306e-06,0.9644638405051543,0.0006704705314084606,0.0006951743582810635
2B,3,0.0032078860136555303,2.2768924344721726e-06,0.9353811387253852,0.0006694623981519869,0.0007157108160896235
2B,4,0.0032491822287993802,2.33271364490142e-06,0.947422620430742,0.0006857472743030269,0.0007238029360025778
2B,5,0.0034710708721580018,2.466291358870167e-06,1.0121226911350951,0.0007251377519455569,0.0007164524205383788
3T,1,0.0034873012659095387,2.5023956040219535e-06,1.016855279551469,0.0007356346798241665,0.0007234408815270666
3T,2,0.0032417938806753926,2.346360066030993e-06,0.9452682666126524,0.0006896693606778401,0.0007296017279298444
3T,3,0.0031637609375407562,2.2658051868323496e-06,0.9225147950439436,0.0006661047211770029,0.0007220531581233592
