,flux,flux_err,relative_err_p
E1,43981357324048.78,3939616283.3360686,8.957468625421222e-05
E2,119090100116216.89,8931300258.812239,7.499616047090747e-05
E3,69910933501814.234,16400622786.159462,0.0002345931024613461
