,flux,flux_err,relative_err_p
E1,47187527552702.72,4582614919.813889,9.711496146297697e-05
E2,130437525922549.53,10052657335.879934,7.706875199280417e-05
E3,135722229316199.02,33808367808.137882,0.00024909970885736633
