,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
3T,4,0.0031862508559103147,3.9059186784698017e-07,0.9857056269194562,0.00012197344540982496,0.00012374226348998171
3T,5,0.003966921759037444,4.98124415949289e-07,1.227215707821374,0.00015548565711359633,0.00012669790332917405
3B,1,0.003925976690922701,5.154315116611808e-07,1.214548850797095,0.00016076633427557598,0.00013236712065559718
3B,2,0.0031554313772469743,4.301298758988866e-07,0.9761712446906283,0.00013408129992842544,0.00013735428149281223
3B,3,0.0015306737043419192,2.1567781157749582e-07,0.473532609822215,6.719918429567825e-05,0.00014191036245826403
3B,4,0.003159282344657134,4.380423391341992e-07,0.9773625885040749,0.0001365133379351814,0.00013967522344407012
3B,5,0.003938018079138115,5.088038471840805e-07,1.2182740013444344,0.00015874105006879203,0.00013029995706516947
4T,1,0.0039292860057949484,4.876421932801003e-07,1.2155726277808725,0.00015224576019300706,0.00012524612410115237
4T,2,0.0031540365893649174,3.8690337501040153e-07,0.975739750019971,0.00012082009630900131,0.000123824099926777
4T,3,0.0015284771328176955,2.0296507521533594e-07,0.47285307358691137,6.329451909493988e-05,0.00013385663037951303
4T,4,0.00315295422939786,4.2968875939216114e-07,0.9754049087415758,0.0001339442804455368,0.00013732172069786462
4T,5,0.003924029493805243,4.879728462887806e-07,1.2139464615809918,0.00015234342895874945,0.00012549435562450085
4B,1,0.003934309629916711,5.356822818508969e-07,1.2171267472737444,0.00016698731040967925,0.00013719796297609593
4B,2,0.0031616123263411167,4.0303932686776273e-07,0.9780833968020973,0.00012577241555853844,0.0001285906866119586
4B,3,0.0015326464741091225,2.0817923713118133e-07,0.4741429102499236,6.489771647268845e-05,0.00013687374643750442
4B,4,0.0031631205636006255,4.192323975838031e-07,0.978549988423617,0.00013074127957571176,0.00013360715458831879
4B,5,0.003940705079854892,5.178009844077e-07,1.2191052578417534,0.00016150318018194626,0.00013247681374770206
5T,1,0.003962951878381968,5.022004927905287e-07,1.2259875767427921,0.00015673276473263245,0.00012784204971231486
5T,2,0.003179838621410051,4.2371249804014723e-07,0.9837219238421191,0.00013212720702134362,0.00013431357360146542
5T,3,0.001540704735668521,2.0293577403420815e-07,0.4766358319065954,6.329360387859868e-05,0.00013279237447469557
5T,4,0.003177101237080762,3.702098542505431e-07,0.9828750805587612,0.00011572324560281555,0.00011773952549191427
5T,5,0.003952931090557465,5.04378160386476e-07,1.2228875236109251,0.0001573937204643904,0.00012870662053991722
5B,1,0.0040134908092080476,5.061532601742274e-07,1.2416224123996749,0.0001579797504643629,0.00012723654863722745
5B,2,0.0032236495529528505,4.0220534019400796e-07,0.9972753707285171,0.0001255596281053954,0.00012590266619506822
5B,3,0.0015628345403035581,2.0485807208497788e-07,0.48348195731788296,6.389815825994062e-05,0.00013216244638045187
