,flux,flux_err,relative_err_p
E1,52573972567389.96,5690307842.123445,0.00010823431375343642
E2,139464752846231.23,13153092229.246687,9.43112289006012e-05
E3,73795173336707.89,19823470172.407272,0.00026862827575399833
