,flux,flux_err,relative_err_p
E1,71970272374493.66,4645448699.714284,6.454677113825452e-05
E2,166619527591857.16,8393335895.429398,5.037426294947428e-05
E3,122961755911669.2,11337151886.746887,9.220063427600238e-05
