,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.0026482916438450815,3.539439576857797e-07,1.3523063077939188,0.00018284528064413177,0.00013520995915667651
1T,2,0.002132410708154367,3.142665264620002e-07,1.08888024404201,0.00016201706996055406,0.00014879236798266614
1T,3,0.0010353339247367707,1.5858817838465376e-07,0.5286761374445024,8.170104490253756e-05,0.00015453893057753928
1T,4,0.0021388326397135463,3.0488705938527495e-07,1.0921594971317827,0.00015728410451331255,0.00014401202839545903
1T,5,0.0026687731329319876,3.811132742130163e-07,1.3627648412978124,0.00019660029560062564,0.0001442657527129888
1B,1,0.0025235753303233803,3.897652493425117e-07,1.2886219859209211,0.00020076928113560297,0.00015580153321078256
1B,2,0.002030880003317769,3.317798400303458e-07,1.0370352696018286,0.0001707439476259327,0.00016464623010506685
1B,3,0.0009854854087979641,1.6251952821979942e-07,0.5032218176021681,8.362539541288679e-05,0.00016617998760737055
1B,4,0.002035111500002639,2.9930058804753443e-07,1.0391960133672133,0.0001543076489858957,0.00014848752978363197
1B,5,0.002537025300452511,3.8671944392669545e-07,1.2954899906165274,0.0001992462725727259,0.00015379993208431046
2T,1,0.00247722903880861,3.4868037173888144e-07,1.2649560190309292,0.00017992270978016656,0.000142236336341562
2T,2,0.001992522831989084,2.837928750701675e-07,1.0174488147423475,0.00014640459178337829,0.00014389381525836548
2T,3,0.0009664297446397881,1.476425673306778e-07,0.4934913580056225,7.606565717704328e-05,0.00015413776947270603
2T,4,0.0019952071327180698,2.997773401919597e-07,1.0188195084936416,0.00015449185676467167,0.0001516381022121308
2T,5,0.0024860795499726117,3.6522356190511017e-07,1.2694753861112493,0.00018829887662738406,0.0001483281036304257
2B,1,0.0024127142259896474,3.703248559778755e-07,1.2320125973636098,0.00019077616878948202,0.00015484920300143435
2B,2,0.0019407295305217981,3.177541891574003e-07,0.9910014223494196,0.00016352033944794735,0.0001650051511129833
2B,3,0.0009414293466634112,1.5495654420385054e-07,0.4807253184497501,7.973614441458498e-05,0.00016586633021892677
2B,4,0.001943139314599841,3.007744075282775e-07,0.9922319387152181,0.00015492398044003383,0.00015613686114623123
2B,5,0.0024205043619205764,3.6494663535446843e-07,1.2359905013767312,0.0001880652936104275,0.00015215755574249758
3T,1,0.0023913838143135484,3.647235863829958e-07,1.2211205755862995,0.00018791166209362347,0.0001538846088179302
3T,2,0.0019223360851871613,2.990603160796294e-07,0.981609113837666,0.00015402776692126954,0.0001569135460846403
3T,3,0.0009319037371455319,1.5239824324178793e-07,0.4758612235655827,7.84275115428947e-05,0.0001648117300990504
