,flux,flux_err,relative_err_p
E1,83031763834835.31,10803340720.764845,0.00013011093853497534
E2,228164835319921.6,26763215251.46389,0.00011729772124586076
E3,144405039358550.28,38817491751.76126,0.0002688098138693029
