,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.002913511579860831,1.832288873995395e-06,1.1647225813698434,0.000738506151509971,0.0006340618472781781
1T,2,0.002727555453239257,1.6681299490427238e-06,1.0903836628917631,0.000672654950587187,0.0006168974953304653
1T,3,0.0026057361168148694,1.5700159810304102e-06,1.041684446124706,0.0006332560835551415,0.0006079154641417492
1T,4,0.0025465455644069967,1.5542178355895789e-06,1.018022081619363,0.0006267433695132428,0.0006156481090432587
1T,5,0.0025617949893169305,1.5782240764465702e-06,1.0241182817059789,0.0006363223526554219,0.0006213367772279531
1B,1,0.002780633528491665,1.7558039271851092e-06,1.1116024674606062,0.0007076325595124329,0.0006365877912532707
1B,2,0.002589138464417941,1.663694080866194e-06,1.0350492706621965,0.0006703245931622211,0.0006476257818464675
1B,3,0.002481697507154525,1.565481638952383e-06,0.9920980395932366,0.0006309380988094484,0.0006359634568657499
1B,4,0.00244419750106829,1.4687385541976563e-06,0.9771068158781654,0.0005924346225842557,0.0006063151059403989
1B,5,0.002493176457675151,1.6043731807325354e-06,0.9966869325889661,0.0006464087403157601,0.0006485574548837184
2T,1,0.002698283870821064,1.7156143784500178e-06,1.07868188237695,0.0006913587734043523,0.0006409292532854038
2T,2,0.002518563739380455,1.6311057896992347e-06,1.0068359021301057,0.0006571146290370153,0.0006526531559381177
2T,3,0.002427948679013764,1.587460862292916e-06,0.9706110908917314,0.0006394392199598471,0.0006588006524553248
2T,4,0.002409250460883161,1.4899558712539454e-06,0.9631361808763976,0.0006006947546919356,0.0006236862103397865
2T,5,0.0024825772603175116,1.5613429561129063e-06,0.9924497349089666,0.0006293006542676323,0.0006340881881794805
2B,1,0.002621535120660519,1.6342926987130151e-06,1.0480003491296481,0.000658798030663704,0.0006286238656416747
2B,2,0.0024481981607971447,1.6256979139715761e-06,0.9787061432186788,0.0006546910620463607,0.0006689352739661701
2B,3,0.002368283409984709,1.4530574789293584e-06,0.9467589508686715,0.0005858972280886778,0.0006188451955496218
2B,4,0.00236399315732946,1.4869214011351635e-06,0.9450438541510571,0.0005993039446916616,0.000634154639553762
2B,5,0.0024594824811722867,1.5252377960844332e-06,0.9832172297189657,0.0006148906247130278,0.0006253863399940447
3T,1,0.002565119143464781,1.6075858810190212e-06,1.0254471651834698,0.0006479760657421729,0.0006318961012742563
3T,2,0.0024088138789581,1.5598101955761568e-06,0.9629616503098294,0.0006283935101382608,0.0006525633808325363
3T,3,0.0023417340036316027,1.4230009107117896e-06,0.9361454035207992,0.0005738729764701165,0.0006130169248407426
