,flux,flux_err,relative_err_p
E1,60360741466149.766,6667478271.004574,0.00011046050974611848
E2,165975534053911.53,15922946413.096056,9.593550340933999e-05
E3,139097183052797.61,33558671149.692585,0.00024126060940396328
