,flux,flux_err,relative_err_p
E1,78731250174459.36,10491332473.07962,0.0001332549965843555
E2,209956901070632.78,26017088141.617344,0.000123916327631759
E3,139391471351345.05,40176537765.65313,0.0002882280915479084
