,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
3T,4,0.0016685830696729189,1.1937859205221417e-06,0.8699766520845592,0.0006273974182530132,0.000721165811461377
3T,5,0.0016630991879261281,1.2542465462475802e-06,0.867117430287807,0.0006586518221678722,0.0007595878011000857
3B,1,0.0020450249084529044,1.4481690026770084e-06,1.066248337060102,0.0007612137728549487,0.0007139178992333011
3B,2,0.0018807570990675702,1.3608634191084722e-06,0.9806013222654888,0.0007150793529078345,0.0007292253606754095
3B,3,0.0017776015852930438,1.3397895129780293e-06,0.9268174321201712,0.0007035796965988724,0.000759135156736722
3B,4,0.0017353942711564052,1.2449173508082725e-06,0.9048111092025642,0.0006542420671583632,0.0007230703298227243
3B,5,0.0017707388625529117,1.2426924895629933e-06,0.9232393012724124,0.0006533030045902408,0.0007076204443310155
4T,1,0.0020188336605490346,1.4253341988343434e-06,1.0525925745275289,0.000749247285728058,0.0007118112970389976
4T,2,0.0018730557062658427,1.3293372129680077e-06,0.9765859201870365,0.0006987262435007426,0.000715478514544754
4T,3,0.0017916977928739174,1.2005925260211659e-06,0.9341670041619763,0.0006316716364287164,0.0006761870560771702
4T,4,0.0017736005703696623,1.282324586500911e-06,0.9247313570357187,0.0006738184803370983,0.0007286640333005074
4T,5,0.0018489440705276553,1.3523114102572279e-06,0.9640144393197982,0.000710468824600485,0.0007369898163577164
4B,1,0.0020306296795486304,1.413152289482139e-06,1.0587428593432593,0.0007430197011003948,0.0007017942974003071
4B,2,0.0019025843532685066,1.341873067058405e-06,0.9919817574856853,0.0007053865733485235,0.0007110882513973071
4B,3,0.0018468902418375783,1.2822078896232571e-06,0.9629436008100328,0.000674197605669652,0.000700142360468997
4B,4,0.0018596277224995805,1.2214730391636036e-06,0.9695847510073033,0.0006428927240945559,0.0006630598546714492
4B,5,0.0019647232335456353,1.369846203440014e-06,1.0243801294998378,0.0007202274244526519,0.0007030860944211296
5T,1,0.0020252874274152063,1.3701257951294792e-06,1.055957481311982,0.0007207463631661038,0.0006825524473491179
5T,2,0.0019130825419732102,1.2898090486190707e-06,0.9974553711332578,0.0006785371830534344,0.0006802682131858343
5T,3,0.001877760872100579,1.2864728685275092e-06,0.9790391300360427,0.0006765924009906481,0.0006910779970211607
5T,4,0.0019123777034138522,1.348757650554391e-06,0.9970878778383325,0.0007090058063573566,0.0007110765481318133
5T,5,0.002047054976472284,1.4202368152981666e-06,1.0673067870774273,0.0007467828293573834,0.0006996890101320122
5B,1,0.002055935987875259,1.425085458442241e-06,1.0719372263452782,0.0007493439091549801,0.0006990557755978253
5B,2,0.0019671360104248736,1.3752147916522723e-06,1.0256381187421943,0.0007230179210633903,0.000704944471009008
5B,3,0.001956477535260868,1.406274321971815e-06,1.0200809339019299,0.0007390173278163149,0.000724469307537674
5B,4,0.00201171361163586,1.3345252212717549e-06,1.0488802772923806,0.0007022662682109838,0.0006695390154764284
5B,5,0.002159663581400265,1.4319426500891364e-06,1.1260193911375664,0.0007535372055303706,0.0006692044661585322
6T,1,0.0020661850487948903,1.4404248316757847e-06,1.0772809481341008,0.0007573371453920804,0.000703008019127993
6T,2,0.0019978176161443476,1.3796900332502244e-06,1.041635093126957,0.0007255191556556267,0.0006965195013520909
6T,3,0.0020057143097923775,1.3487384244814035e-06,1.0457523224260636,0.0007095714337637606,0.0006785272368485975
6T,4,0.0020781729965742377,1.363341744579381e-06,1.0835313020205786,0.0007175784062473927,0.0006622590458708911
6T,5,0.0022424173092370023,1.4477478918453235e-06,1.1691660659417367,0.0007622364512865118,0.0006519488321554626
6B,1,0.0021309012496681574,1.4269046576483829e-06,1.111023100259852,0.0007507512698317905,0.0006757296672375225
6B,2,0.002091728938730093,1.4394969041308532e-06,1.0905991869745562,0.0007570140131202217,0.0006941266985722436
6B,3,0.0021176956759081395,1.4855018519567161e-06,1.1041378926502314,0.0007809575958157413,0.0007073007828227239
6B,4,0.002207177452909051,1.4789279480474604e-06,1.1507924813205395,0.0007781138334795761,0.0006761547769122432
6B,5,0.002363808333111633,1.6257666961543108e-06,1.2324577044960399,0.000854979752962126,0.0006937193461837563
