BU,k,kerr
0.0,1.1054129649963558,0.00028988506835789083
0.1,1.0803085635296694,0.000311777729021933
0.5,1.0638912820142374,0.00031874841006988163
1.0,1.0611919215068257,0.0002881897660504274
2.0,1.0571221550657912,0.0002622696878306439
4.0,1.0533237782110192,0.0002653244320691059
6.0,1.0503404909126735,0.00032198288478464123
8.0,1.0469308864805502,0.00030531461070686664
10.0,1.043522254641021,0.0002947388031922758
14.0,1.036714925091185,0.00032092153387716925
18.0,1.030539197816172,0.0003285455207795394
22.0,1.0240846275738287,0.0003135600907032028
26.0,1.0172062427952089,0.00026345239870827393
30.0,1.008688636310535,0.0003248491885658774
40.0,0.9832831501384675,0.0002802267371293587
50.0,0.9542864772622499,0.0002792689852040279
60.0,0.9250630389337255,0.0002910383333753906
70.0,0.8977018274311592,0.000293346303141605
