,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70
2T,4,1.0146043665953033,0.0013579153523536865,0.0013383693162197087,1.0160329579341394,0.0014503505121827686,0.0014274640412568016,1.0170512651303292,0.001337977075881413,0.0013155453631041492,1.0178119274157955,0.0012964151620967102,0.0012737276182135954
2T,5,1.2655745473533069,0.0016386801828218796,0.001294811266747461,1.2676277715248,0.0016878793964863973,0.001331526047631543,1.2665360518606188,0.0016512997775173866,0.0013037921621666642,1.2665341648965125,0.0016186633042251394,0.0012780257722912664
2B,1,1.230601925416726,0.0015717546766828535,0.001277224295054309,1.2331150126219423,0.0014028583610219045,0.0011376541090348427,1.2291999803840268,0.0018003638958423477,0.0014646631342117968,1.2312249499117849,0.0017406416012220967,0.0014137478300344794
2B,2,0.9886666258021822,0.0013024370154889936,0.0013173672312769991,0.9901234897628568,0.0013861836084042881,0.0014000108296958911,0.9856147155571195,0.0014142321084789039,0.0014348731671274895,0.989749197502356,0.0014434756967446074,0.0014584257308692305
2B,3,0.4804379243553635,0.0006619591753473584,0.0013778245675246275,0.4805067102339701,0.000699300892180326,0.0014553405338290069,0.478991374244351,0.000741651012531816,0.0015483598503247221,0.4805791533840697,0.0007470673807396987,0.0015545147463828022
2B,4,0.990338360618418,0.0013473558559550446,0.0013605005213709856,0.9907700660205484,0.0013452195753482752,0.0013577515323523874,0.9903068892838148,0.0014969270440017635,0.0015115789460823945,0.9921588607382036,0.0014015755231613243,0.0014126523267841394
2B,5,1.235591955120504,0.0016665941984824306,0.0013488224745845745,1.2366720872546748,0.0016053741526704658,0.0012981405250556627,1.233029594318823,0.001751733129658275,0.0014206740355052106,1.2361136489186482,0.0016954295422995026,0.0013715806340158642
3T,1,1.2191910230622445,0.0018081869267534386,0.0014831038717885339,1.2229873907460187,0.0014254067871491336,0.0011655122513402525,1.2157464926752126,0.0017717142876676098,0.0014573056951774602,1.2235635908840352,0.0017088495791514342,0.001396616891743874
3T,2,0.9801115456755792,0.001446511565873151,0.0014758642240828698,0.9804492020581104,0.001269149213732349,0.0012944568786105528,0.9774927955219036,0.0013680468944402874,0.00139954677999428,0.9815663610185053,0.0014803293462319661,0.0015081296639953394
3T,3,0.4748312579936345,0.0007364331774570207,0.001550936601286037,0.4750122868407022,0.0006724492653354102,0.0014156460453009707,0.4735404722325635,0.0006872783605209293,0.0014513613953220784,0.4764573900657916,0.0006447591834215749,0.0013532357706374188
3T,4,0.9811238219037824,0.001285327330554741,0.0013100561844076714,0.98187253322182,0.0013845776801076851,0.0014101399451153485,0.9775256059634976,0.0014489161535173132,0.0014822283372200667,0.9819074178094148,0.001441431433572806,0.001467991184737728
3T,5,1.2215663103833572,0.0016599726528633534,0.0013588886978574367,1.222414190250284,0.0015428253733563776,0.0012621134355782395,1.2197938280185543,0.0016080611359057938,0.001318305683279235,1.22008434984556,0.0018144126115721172,0.0014871206337510913
3B,1,1.2106551406233512,0.0016477953648695678,0.0013610774113767348,1.2083161265761575,0.0015441439140341368,0.0012779304025425605,1.205538564467155,0.0016006658266581233,0.0013277599521385806,1.2068912920217283,0.0017807398034038516,0.0014754765530049015
3B,2,0.9702921716617764,0.0013176900613368456,0.0013580343115415392,0.9690618179175132,0.0013457525624458856,0.0013887169399965321,0.9674233394971724,0.0013536443495013168,0.0013992264753555426,0.96949767009256,0.0015384116482646786,0.0015868131463563015
3B,3,0.4703176008325834,0.0006774460729077554,0.0014404012771550572,0.4702968436941847,0.0007806766596094916,0.0016599657643399676,0.4693624190386225,0.0006868356677507119,0.001463337582837441,0.4706425788859814,0.0006943259099472103,0.0014752721940090741
