,0.0,0.1,0.5,1.0,2.0,4.0,6.0,8.0,10.0,14.0,18.0,22.0,26.0,30.0,40.0,50.0,60.0,70.0
U232,9.029084684995166e+28,6.2934864437220905e+29,4.427337672198443e+30,2.910712708200089e+31,1.5255736125732825e+32,3.700594556373507e+32,6.732915559862127e+32,1.0547495331752814e+33,1.5068439824149063e+33,2.600925375951073e+33,3.910992569004724e+33,5.4021685629001e+33,7.039750422724999e+33,8.791314697451021e+33,1.3507780273217932e+34,1.8419962039168827e+34,2.3235035314989235e+34,6.062708488479771e-13
U233,6.824219225087942e+32,3.2565685623012623e+33,6.691286669234609e+33,1.3125253877098704e+34,2.7040894131962167e+34,3.934984892749954e+34,5.204806089541057e+34,6.422202577498113e+34,7.546938208866017e+34,9.95982305912904e+34,1.202036778136565e+35,1.3751957964237988e+35,1.5479403624607552e+35,1.708985828312675e+35,2.0356422509841475e+35,2.3130479240557133e+35,2.538180239372352e+35,6.065904373504597e-12
U234,1.162744911230133e+36,5.911599003379079e+36,1.1873388503975392e+37,2.3594112706491575e+37,4.688100879113944e+37,6.96094531333132e+37,9.164164684226812e+37,1.1323381484003932e+38,1.343614680606166e+38,1.751207114127129e+38,2.143348720064975e+38,2.5220102390788183e+38,2.8928557638251183e+38,3.2656159652959053e+38,4.249672069865686e+38,5.412571114451581e+38,6.902302904507117e+38,1.9041932472895114e-08
U235,1.0052731344796098e+44,9.993414163663715e+43,9.919519253726054e+43,9.773354439704775e+43,9.488632034772357e+43,9.21492481690465e+43,8.951070847239526e+43,8.695979418017279e+43,8.448810086571223e+43,7.975620321213922e+43,7.527464176409431e+43,7.101448892212115e+43,6.695391857021231e+43,6.307642478431254e+43,5.410616385153124e+43,4.606739112016192e+43,3.8875335409742846e+43,0.0007606582664352728
U236,2.7346369437627734e+40,1.3689815457117743e+41,2.735704522570068e+41,5.4363794008928264e+41,1.0689585166059097e+42,1.5734465008265964e+42,2.0587873582321073e+42,2.5267044065214162e+42,2.9786559213309487e+42,3.838940077539459e+42,4.6463566022365354e+42,5.405927527573919e+42,6.121402426119887e+42,6.795968510044514e+42,8.317773759924681e+42,9.624796058737028e+42,1.0734051419301887e+43,0.00025940860898835766
U238,1.0050247920009844e+45,1.004770765749774e+45,1.0044485129868847e+45,1.0038026200357896e+45,1.0025031429573496e+45,1.0011950611296353e+45,9.998789985394138e+44,9.985557143376376e+44,9.97224978113338e+44,9.945382366146864e+44,9.918231752949447e+44,9.89079799391771e+44,9.863074203120091e+44,9.835020322137067e+44,9.763300371842626e+44,9.688859626739441e+44,9.611614624496917e+44,0.021559103847540305
Np236,3.3726648693738385e+26,4.888210118078661e+28,4.93844753803806e+29,5.316361654040323e+30,6.071784258997465e+31,2.4601131218515636e+32,6.530578331480284e+32,1.3828431378391363e+33,2.5479718558748754e+33,6.497972953856426e+33,1.3277854578111598e+34,2.351488079800184e+34,3.7901829295093036e+34,5.706683338650058e+34,1.3037807805178074e+35,2.470588841236375e+35,4.1453787909677866e+35,1.3309009589536597e-11
Np237,4.035688906941185e+35,1.3929746828056504e+37,7.258662553624893e+37,4.007148194245214e+38,2.2143861377612882e+39,5.831686904642356e+39,1.1320726184343768e+40,1.863641266465748e+40,2.769967493768503e+40,5.075618523408306e+40,7.985503513284816e+40,1.1437959628868076e+41,1.5384507809222052e+41,1.9771404023513883e+41,3.241522821027029e+41,4.6992316147041585e+41,6.294333448155356e+41,1.723907002324178e-05
Pu236,4.492278173521881e+25,5.3736465111516415e+25,1.6977433491449734e+26,1.2610910757460022e+27,5.222356415597526e+27,1.239311393419023e+28,2.71582122156816e+28,5.731406050067074e+28,1.0401222455466537e+29,3.18454253911831e+29,7.714133303340074e+29,1.59322308609443e+30,3.013608136540824e+30,5.176222785690861e+30,1.554823625608526e+31,3.7313698666092595e+31,7.664120262911601e+31,2.8466792818820916e-15
