,flux,flux_err,relative_err_p
E1,47528044051547.87,4529104847.642582,9.52933144635705e-05
E2,131220287951518.89,10104108646.289192,7.70011162452432e-05
E3,135723526383056.8,33344217873.084076,0.0002456775089896768
