,flux,flux_err,relative_err_p
E1,52596038188122.7,3203324516.0035577,6.0904292915486854e-05
E2,125984300028008.47,5733410624.1716795,4.550892946896593e-05
E3,123415138270025.05,10166140365.395319,8.237352814168066e-05
