,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
1T,1,0.004277560991356392,5.181249298212023e-07,1.333501223190884,0.00016312886232963013,0.00012233124311598705
1T,2,0.0034395131083472434,4.475469818675487e-07,1.0722453628201205,0.0001407233382558665,0.00013124173172989902
1T,3,0.0016685755181272896,2.0678747015079777e-07,0.5201673334185594,6.507736917856959e-05,0.00012510852757876713
1T,4,0.0034453400170054572,4.1413639722540974e-07,1.074061862886128,0.00013040835948331165,0.00012141605990262922
1T,5,0.004296942223536029,5.30528048189178e-07,1.3395431935732391,0.00016697243145498232,0.00012464878494106816
1B,1,0.00410871475449861,5.33058074000809e-07,1.28086453049708,0.00016761920189685113,0.00013086411396824393
1B,2,0.0033057825881350326,4.169233547898237e-07,1.0305557615166476,0.0001311661890045125,0.00012727713909578065
1B,3,0.0016043343204034666,2.059544677318819e-07,0.5001405667828366,6.477388547155065e-05,0.00012951136095240158
1B,4,0.003312824358233359,4.346208320817774e-07,1.032750986566278,0.00013663995559593623,0.00013230677808427074
1B,5,0.004132280604119365,5.068370667347581e-07,1.2882110275682639,0.00015953623482351824,0.00012384324571780163
2T,1,0.004052410316605519,5.258345558852306e-07,1.2633119960146426,0.0001653473408930715,0.00013088401077064973
2T,2,0.003256278472906428,4.240616156898233e-07,1.0151231824502778,0.00013333686366154708,0.00013135042718628694
2T,3,0.0015785376217079044,2.062779428683531e-07,0.49209861733212623,6.485579778836121e-05,0.00013179431013233037
2T,4,0.0032575050636121793,4.2101739906648593e-07,1.015505563954546,0.00013239687042527226,0.00013037532744744108
2T,5,0.00405786819367936,5.186656658358854e-07,1.265013452935701,0.0001631358359211298,0.00012895976366302073
2B,1,0.003960106679892825,5.05922354045001e-07,1.2345369504430974,0.00015912905858265046,0.00012889776893720045
2B,2,0.0031848246119645478,4.246234585892883e-07,0.9928479159700927,0.00013346137109951673,0.00013442277407523607
2B,3,0.0015446703580729282,2.1861509200714953e-07,0.48154072287436694,6.864906350335047e-05,0.00014256128348517864
2B,4,0.003188766891177236,4.320790953127193e-07,0.9940768953260627,0.00013576963283892308,0.00013657860219594973
2B,5,0.003976839243152826,4.989291157192894e-07,1.2397532158848803,0.00015698062326781505,0.00012662247716435188
3T,1,0.003936366952955846,5.161852748732584e-07,1.2271362482736492,0.0001622841753699643,0.0001322462567610302
3T,2,0.0031617070570349316,4.158913256594487e-07,0.9856411717908471,0.00013074583950586254,0.00013265054590638265
3T,3,0.0015323926436847496,1.9657281282583762e-07,0.4777132269747859,6.182410475963765e-05,0.00012941677405742163
