,,mean,std. dev.,Fission Density,FD std dev,Relative unc.
,,,,,,
Stripe,Region,,,,,
3T,4,0.0030880898655363358,1.7511502601098126e-06,0.9630221497151316,0.0005507006529433591,0.0005718462998034469
3T,5,0.0032260420290393926,1.941053139315255e-06,1.0060425911009891,0.000609853027147937,0.0006061900684349043
3B,1,0.0031778500674701153,1.890973813102293e-06,0.9910139072056862,0.0005942174532945815,0.0005996055645375025
3B,2,0.003055648109311735,1.7845356713012366e-06,0.9529051741152251,0.0005609324194204349,0.000588655025345268
3B,3,0.003026892351173503,1.8486360753255373e-06,0.9439376786002722,0.0005806901627635382,0.0006151784974031555
3B,4,0.0030828859700544357,1.833112505604945e-06,0.9613993126760282,0.0005760416233803192,0.0005991699970919715
3B,5,0.003237492717488952,1.821400710707539e-06,1.0096134932076537,0.000572869035330154,0.0005674142027461279
4T,1,0.003149853952233223,1.7540847773669965e-06,0.9822833066554908,0.0005517930288484645,0.0005617452980314068
4T,2,0.0030396185691130106,1.807165536392889e-06,0.9479063551257267,0.0005678890336363043,0.0005990982448482282
4T,3,0.0030240540494922254,1.8155987929873377e-06,0.9430525530030063,0.0005704552189357704,0.0006049028944561395
4T,4,0.0030893629319121924,1.9007742441359636e-06,0.9634191560107351,0.0005970047378728784,0.0006196728953832698
4T,5,0.0032607799866438696,1.8737103451262836e-06,1.016875638086546,0.000589115127882463,0.0005793384223374653
4B,1,0.003121098070070294,1.802409343143889e-06,0.9733157724633829,0.0005666517069121623,0.0005821869150214355
4B,2,0.0030286607770116775,1.7429817868038797e-06,0.9444891629567662,0.0005479991171773008,0.000580206887140732
4B,3,0.0030314289606612733,1.6696061736609003e-06,0.9453524222157634,0.000525319208257626,0.0005556861080721167
4B,4,0.003112592998215853,1.6718550517153504e-06,0.9706634621559161,0.0005262652415302948,0.0005421706513619256
4B,5,0.0033064918116466674,1.8512771512053542e-06,1.031130890329327,0.0005823134817245866,0.000564732845447589
5T,1,0.003110604637195319,1.8076155852596602e-06,0.9700433909184258,0.0005682317546297004,0.0005857797289786235
5T,2,0.003032640440360576,1.7121688057778917e-06,0.945730222679856,0.0005384813430085772,0.0005693815531058283
5T,3,0.003046019990407388,1.8348969603353367e-06,0.9499026411033283,0.0005764901215744366,0.0006068939032581628
5T,4,0.0031412561725007466,1.6976085960904526e-06,0.9796020853564763,0.0005343117135857467,0.0005454375011781556
5T,5,0.0033492816869519814,1.8730186536492653e-06,1.0444749313050934,0.0005891641113001268,0.0005640768329058447
5B,1,0.0031212829861407398,1.745726261641892e-06,0.9733734386193018,0.0005491227379520132,0.0005641439515042918
5B,2,0.0030627033156307073,1.7036622348984323e-06,0.955105343233296,0.0005359415706651042,0.0005611334649754902
5B,3,0.003096189764748357,1.7475674642741964e-06,0.9655481067601938,0.0005496168448028746,0.0005692278209182787
5B,4,0.003208735354485225,1.7783814001573047e-06,1.0006454972147074,0.0005594823694946559,0.0005591214581507365
5B,5,0.0034266305668722115,1.8746802774748032e-06,1.0685962126998303,0.0005899130982449322,0.0005520449082956271
6T,1,0.003130993642806125,1.829090489281143e-06,0.9764017110673967,0.0005749345920548978,0.0005888299718630999
6T,2,0.00309133066555332,1.8574391711485574e-06,0.964032794591106,0.0005835945601947317,0.0006053679537346684
6T,3,0.003132110075100425,1.7034705026651208e-06,0.9767498709574527,0.000536094670266457,0.0005488556345965561
6T,4,0.0032596522147058655,1.8520879533368003e-06,1.0165239419237349,0.0005824243809269945,0.000572956874802946
6T,5,0.0034889185420868486,2.0360680705209548e-06,1.0880207444992587,0.0006400039276724907,0.0005882276885879052
6B,1,0.003183737496389293,1.7354395968290833e-06,0.9928499044405195,0.0005461334754620874,0.0005500665035263703
6B,2,0.003173974817670724,1.8388308165530111e-06,0.9898054088928158,0.0005780724212018141,0.0005840263308405627
6B,3,0.00324460412622334,1.8878717202378226e-06,1.011831189073089,0.0005934487173965564,0.0005865096112921747
6B,4,0.0033849711635098446,1.9281397179859885e-06,1.0556047098845753,0.0006063150589515938,0.0005743769928971717
6B,5,0.003616434247591043,2.03185493650771e-06,1.127786571979724,0.0006390759051643993,0.0005666638715537827
